N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"71,900",100,-0.14%,100,"4,292,274","5,969,783",52.54,"12,460,387",10.85,17.07,
2,LG에너지솔루션,"589,000","18,000",-2.97%,500,"1,378,260","234,000",5.59,"297,951",132.36,5.75,
3,SK하이닉스,"118,800",700,-0.59%,"5,000","864,867","728,002",51.87,"3,139,698",-37.12,3.56,
4,삼성바이오로직스,"784,000","2,000",-0.25%,"2,500","558,004","71,174",10.75,"47,236",70.17,11.42,
5,LG화학,"719,000","17,000",-2.31%,"5,000","507,559","70,592",47.81,"263,451",34.50,6.95,
6,삼성SDI,"731,000","11,000",-1.48%,"5,000","502,669","68,765",49.58,"194,186",25.28,12.52,
7,삼성전자우,"60,600",500,-0.82%,100,"498,669","822,887",72.60,"993,991",9.15,N/A,
8,현대차,"201,000","3,000",+1.52%,"5,000","425,178","211,532",32.12,"658,881",6.11,9.36,
9,기아,"83,000",700,+0.85%,"5,000","333,697","402,044",37.40,"1,327,195",5.18,14.57,
10,POSCO홀딩스,"391,500","2,000",+0.51%,"5,000","331,096","84,571",38.23,"2,051,882",15.52,6.11,
11,NAVER,"199,200","1,800",-0.90%,100,"326,786","164,049",47.88,"662,679",50.74,3.29,
12,포스코퓨처엠,"373,000","20,000",-5.09%,500,"288,938","77,463",7.55,"1,499,107",238.49,4.87,
13,카카오,"55,700",700,-1.24%,100,"247,366","444,104",25.88,"2,041,412",194.76,13.54,
14,셀트리온,"164,400",600,-0.36%,"1,000","240,667","146,391",20.48,"371,027",41.14,13.35,
15,현대모비스,"222,500",500,-0.22%,"5,000","209,784","94,285",37.06,"147,550",7.48,6.80,
16,LG전자,"124,700",300,+0.24%,"5,000","204,069","163,648",29.74,"781,595",51.13,6.61,
17,삼성물산,"108,200",500,-0.46%,100,"200,810","185,592",18.27,"209,057",9.44,7.16,
18,KB금융,"48,550",50,+0.10%,"5,000","195,905","403,511",72.34,"804,281",4.48,9.17,
19,신한지주,"34,800",250,-0.71%,"5,000","181,861","522,590",59.24,"1,022,665",3.98,9.70,
20,SK이노베이션,"192,900","6,700",-3.36%,"5,000","178,366","92,466",24.81,"856,783",28.06,8.49,
21,LG,"89,000",900,-1.00%,"5,000","139,998","157,301",35.97,"161,061",12.97,8.48,
22,삼성생명,"66,100",500,-0.75%,500,"132,200","200,000",16.09,"192,047",6.54,5.73,
23,카카오뱅크,"26,200",400,-1.50%,"5,000","124,913","476,767",14.19,"797,852",41.85,4.68,
24,SK,"168,600","2,100",-1.23%,200,"123,412","73,198",23.07,"139,192","-8,430.00",5.13,
25,하이브,"292,000","2,000",-0.68%,500,"121,615","41,649",18.20,"446,621",273.92,1.87,
